city,instance_id,solver,variant,reference_variant,num_customers,total_demand,distance_m,fuel_l,co2_kg,distance_penalty_pct,fuel_penalty_pct,co2_penalty_pct,feasible,infeasible_reason,runtime_seconds,seed
macau,14,OR-Tools,SR,AR,20,138,20740.658887731184,87.10452053163004,233.44011502476855,5.787146462319221,5.808061889721591,5.8080618897215945,True,,45.00136539991945,56
macau,14,OR-Tools,AR,AR,20,138,19606.02925906399,82.32314152244344,220.62601928014843,0.0,0.0,0.0,True,,45.00144809996709,56
macau,15,OR-Tools,SE,AR,20,145,24599.4570844127,103.2609771760024,276.73941883168646,8.29275680926184,8.310004761399044,8.310004761399048,True,,45.0006854000967,57
macau,15,OR-Tools,SM,AR,20,145,27192.135753480805,114.06198716476473,305.6861256015695,19.70635507000801,19.63913872181869,19.63913872181868,True,,45.00004439998884,57
macau,15,OR-Tools,SR,AR,20,145,24319.597814206583,102.05986199640294,273.5204301503599,7.060748648055213,7.050160100044834,7.050160100044834,True,,44.99929639999755,57
macau,15,OR-Tools,AR,AR,20,145,22715.699377512577,95.3383553102787,255.50679223154694,0.0,0.0,0.0,True,,44.999171799980104,57
macau,16,OR-Tools,SE,AR,20,122,23358.586456875953,97.93481663796817,262.4653085897547,10.31847975706089,10.09057164885027,10.090571648850274,True,,45.000445700017735,58
macau,16,OR-Tools,SM,AR,20,122,22823.905853509033,95.96667634945307,257.19069261653425,7.79327766797371,7.878144068077542,7.878144068077544,True,,44.999149800045416,58
macau,16,OR-Tools,SR,AR,20,122,21517.309750083547,90.0811989817582,241.417613271112,1.6224549577677623,1.2621561071147311,1.2621561071147263,True,,44.99906580010429,58
macau,16,OR-Tools,AR,AR,20,122,21173.77479123655,88.95840503975705,238.40852550654893,0.0,0.0,0.0,True,,44.99912950000726,58
macau,17,OR-Tools,SE,AR,20,131,24658.779845183122,103.40508269501413,277.1256216226379,15.371970976886702,15.271262440395455,15.271262440395454,True,,44.99951710004825,59
macau,17,OR-Tools,SM,AR,20,131,22457.37289556781,94.20343179899893,252.46519722131717,5.072164567408273,5.013682371068646,5.013682371068649,True,,44.999084100010805,59
macau,17,OR-Tools,SR,AR,20,131,23991.61946272896,100.473493665578,269.26896302374905,12.250502324962868,12.003260911145583,12.003260911145576,True,,44.999618600006215,59
macau,17,OR-Tools,AR,AR,20,131,21373.284721055163,89.70586467592727,240.4117173314851,0.0,0.0,0.0,True,,44.999058299930766,59
